idx,case_idx,key,seconds,pesq,estoi,sdr,proj_sdr,si_sdr,sdr_mix,proj_sdr_mix,si_sdr_mix,sdr_i,proj_sdr_i,si_sdr_i,interferer_si_sdr,target_margin_db,target_confusion_rate
705,1,22ga010r_0.041318_050a050c_-0.041318_050o020y,5.458875,3.5786449909210205,0.8128800948679132,18.04879057583188,17.65403129611407,17.65603781038611,-1.2495610922814004,-1.3331039844432788,-1.3331438078476674,19.29835166811328,18.98713528055735,18.989181618233776,-34.219600162731915,51.875637973118025,0.0
706,0,22ga010r_0.95522_052a050u_-0.95522_22gc0114,5.164625,3.5213358402252197,0.909777660228657,15.619833200475462,14.989008878689036,14.989053881693632,3.4486528050713683,3.299439578273476,3.2994363739543635,12.171180395404093,11.68956930041556,11.689617507739268,-25.578011281945958,40.56706516363959,0.0
706,1,22ga010r_0.95522_052a050u_-0.95522_052a050i,5.164625,3.030197858810425,0.8561156600297599,12.16244748668034,11.580989424039602,11.58106853289755,-2.66646900474024,-3.062571815288506,-3.0625664856991444,14.82891649142058,14.643561239328108,14.643635018596694,-22.674190104285834,34.25525863718339,0.0
707,0,22ga010s_0.12808_446o030c_-0.12808_22ga010a,6.14,2.5616836547851562,0.8495386326181559,10.973847979833739,10.641521695855452,10.641522739359647,0.3371827437574834,0.2184883698212228,0.21848784964924386,10.636665236076256,10.42303332603423,10.423034889710404,-24.160302400748503,34.80182514010815,0.0
707,1,22ga010s_0.12808_446o030c_-0.12808_446o030q,6.14,3.2894248962402344,0.8852317604455245,15.430092286009746,15.164252542924775,15.164283405926472,0.12368558147040866,0.04019108422230226,0.04019740647622187,15.306406704539338,15.124061458702473,15.12408599945025,-27.862583729149584,43.02686713507606,0.0
708,0,22ga010s_2.4955_420o030s_-2.4955_22ga010m,5.18875,3.2918035984039307,0.9378118121778953,20.99637260763982,20.78678387095557,20.786798491261337,6.443240494011063,6.395263982577394,6.39526259011965,14.553132113628758,14.391519888378177,14.391535901141687,-31.828578943823427,52.61537743508477,0.0
708,1,22ga010s_2.4955_420o030s_-2.4955_420c0213,5.18875,3.211458921432495,0.871653752245623,14.84973680340187,14.501772825555157,14.501814440622539,-6.042744856563493,-6.152779407582162,-6.1527707534457585,20.892481659965362,20.65455223313732,20.654585194068297,-29.63089971370223,44.13271415432477,0.0
709,0,22ga010t_1.2091_444c020e_-1.2091_22gc010e,6.28,2.12812876701355,0.8891644026559229,11.60197683733549,9.280950716685851,9.280953275410736,3.9601488118792174,3.9281881854607614,3.9281874630887756,7.641828025456273,5.352762531225089,5.352765812321961,-40.48193264054411,49.76288591595485,0.0
709,1,22ga010t_1.2091_444c020e_-1.2091_444o0304,6.28,3.3903167247772217,0.897214689746341,16.852624721717152,16.57093944945848,16.57102935093549,-3.8823838148121843,-3.9993234830797704,-3.9993176065236877,20.735008536529335,20.57026293253825,20.57034695745918,-38.85551996660269,55.42654931753818,0.0
710,0,22ga010u_0.43921_443o030l_-0.43921_22ga010z,5.64,3.0823872089385986,0.8993678355404037,11.682120904469135,11.592459835680955,11.592456706390093,1.5527147767930949,1.5057073123779785,1.505702379203246,10.12940612767604,10.086752523302977,10.086754327186847,-19.750555707361027,31.34301241375112,0.0
710,1,22ga010u_0.43921_443o030l_-0.43921_443o030o,5.64,2.8466975688934326,0.8774949736232945,10.196901356695431,8.230982142512387,8.230983372647797,-1.118614576057675,-1.2354714037014922,-1.2354743630485356,11.315515932753106,9.466453546213879,9.466457735696332,-17.53570167248916,25.76668504513696,0.0
711,0,22ga010u_0.69379_445c020s_-0.69379_22ga0106,4.48175,3.458804130554199,0.923488031488225,19.31920011897844,18.836623460656735,18.836623965501566,3.123265596918476,3.014560828736542,3.01455797508552,16.195934522059964,15.822062631920193,15.822065990416046,-35.392454483786565,54.22907844928813,0.0
711,1,22ga010u_0.69379_445c020s_-0.69379_445o030n,4.48175,3.4857559204101562,0.9428414106678682,15.982829801326286,15.601860493560274,15.60186234055129,-2.866047900242786,-3.0154552312383425,-3.01545977823576,18.848877701569073,18.617315724798615,18.61732211878705,-30.7323754143146,46.33423775486589,0.0
712,0,22ga010v_0.56642_422c020f_-0.56642_22gc010i,2.874,3.0482640266418457,0.8940963403188468,17.045843691900288,16.500316994957075,16.50033060463383,3.812988093850164,3.5651990481158697,3.565200747636865,13.232855598050124,12.935117946841205,12.935129856996966,-24.726490172072694,41.226820776706525,0.0
712,1,22ga010v_0.56642_422c020f_-0.56642_422c020i,2.874,2.579732656478882,0.8414515819440526,11.07437884155734,10.111282512512346,10.111285554174822,-2.716907822706262,-3.1261014398205185,-3.126097412089231,13.791286664263602,13.237383952332864,13.237382966264054,-26.122338159202275,36.2336237133771,0.0
713,0,22ga010w_0.70789_442c0216_-0.70789_22ga0114,6.24,3.460559844970703,0.937249763220904,18.86524354190484,18.681595869015965,18.681610299312798,1.5737843642031268,1.5291071136070378,1.5291027483052009,17.29145917770171,17.15248875540893,17.152507551007595,-36.513899642277465,55.19550994159026,0.0
713,1,22ga010w_0.70789_442c0216_-0.70789_442c020d,6.24,3.393218517303467,0.9329388801299077,17.439914477555376,17.22747000920575,17.227469112805714,-1.460671880371671,-1.5575603462503005,-1.5575652241834879,18.900586357927047,18.78503035545605,18.785034336989202,-34.63407771558382,51.861546828389535,0.0
714,0,22ga010w_1.9211_420a010j_-1.9211_22gc010b,6.24,3.5970358848571777,0.9424395045530937,19.408929280433696,19.12011749238209,19.120145326796226,4.799898169013491,4.735335914981459,4.7353356099468,14.609031111420204,14.38478157740063,14.384809716849427,-27.674524541680114,46.79466986847634,0.0
714,1,22ga010w_1.9211_420a010j_-1.9211_420a0110,6.24,3.421069383621216,0.8680405448229938,14.708147476494208,14.301884843244459,14.301878788845032,-4.092766595117426,-4.230674067442707,-4.230692835455344,18.800914071611633,18.532558910687165,18.532571624300378,-25.369648635970524,39.67152742481556,0.0
715,0,22ga010x_0.48458_22ho0107_-0.48458_22gc0111,6.2,3.497281789779663,0.9204740318300543,17.609177361402235,17.331833778225,17.331854136895664,1.4253559373040712,1.3520156011446902,1.3520162415480166,16.183821424098163,15.979818177080311,15.979837895347648,-33.32592679133421,50.657780928229876,0.0
715,1,22ga010x_0.48458_22ho0107_-0.48458_22ho010p,6.2,2.8069465160369873,0.8988812701809186,16.097617426641627,15.805151088271266,15.805195556807362,-1.3198926374477673,-1.3980600940380157,-1.3980543884300576,17.417510064089395,17.203211182309282,17.20324994523742,-32.45953829151005,48.26473384831741,0.0
716,0,22ga010y_0.37129_441o030i_-0.37129_22ga010a,5.74,2.806999921798706,0.9152548508031446,17.702232386543336,17.310612944928387,17.31063206801299,1.2013994246151314,1.0968984811895977,1.0968923405162574,16.500832961928204,16.21371446373879,16.21373972749673,-54.080057022760506,71.39068909077349,0.0
716,1,22ga010y_0.37129_441o030i_-0.37129_441c0202,5.74,3.299295663833618,0.9378738604536577,16.462015203309146,16.13310130850573,16.133147801517744,-1.302320852513399,-1.4541271122683517,-1.4541365143158549,17.764336055822547,17.587228420774082,17.5872843158336,-48.424907105496125,64.55805490701387,0.0
717,0,22ga010y_1.4643_446c020b_-1.4643_22gc010l,5.74,3.168471097946167,0.8854033361022893,16.16825562294426,15.891156843087686,15.891157485939093,2.678547197566083,2.613176901173791,2.613173995346649,13.48970842537818,13.277979941913895,13.277983490592444,-28.112997561235833,44.004155047174926,0.0
717,1,22ga010y_1.4643_446c020b_-1.4643_446c020e,5.74,3.4540634155273438,0.9234951434071965,13.726638864992589,13.426093648785173,13.426086217952879,-2.359401003167318,-2.453129824822669,-2.453150280127778,16.086039868159908,15.879223473607842,15.879236498080656,-27.402509860371023,40.8285960783239,0.0
718,0,22ga010z_2.3137_441c0206_-2.3137_22gc010t,5.08825,3.751217842102051,0.9547443573499637,22.36667723883929,22.10023273990039,22.10033756489128,7.297609493894742,7.242493224261351,7.242490313844612,15.06906774494455,14.85773951563904,14.857847251046667,-70.40544638112804,92.50578394601932,0.0
